,Produto,Ano,UF de Origem,UF de Destino,Unidade,JANEIRO,FEVEREIRO,MARÇO,ABRIL,MAIO,JUNHO,JULHO,AGOSTO,SETEMBRO,OUTUBRO,NOVEMBRO,DEZEMBRO,Total
0,Biodiesel B100,2019.0,BA,AL,m³,1.8319999999999999, 1.569 ,1.4609999999999999,1.682,1.023,1.18,1.236,1.3430000000000002,,,,,11.325999999999999
1,Biodiesel B100,2019.0,BA,BA,m³,15.808, 14.432 ,11.537,13.275,18.141,17.163,13.432,13.36,,,,,117.148
2,Biodiesel B100,2019.0,BA,CE,m³,6.4879999999999995, 5.457 ,2.612,2.546,5.8870000000000005,5.922000000000001,6.412999999999999,6.904,,,,,42.229
3,Biodiesel B100,2019.0,BA,ES,m³,,,,,,,,273.0,,,,,273.0
4,Biodiesel B100,2019.0,BA,MA,m³,1.055, 1.205 ,44.0,,556.0,,,212.0,,,,,3.072
5,Biodiesel B100,2019.0,BA,PB,m³,3.3539999999999996, 2.686 ,3.145,3.2089999999999996,2.622,2.9410000000000003,2.988,3.32,,,,,24.266
6,Biodiesel B100,2019.0,BA,PE,m³,9.749, 9.769 ,8.508,8.25,7.87,10.612,9.572000000000001,9.883,,,,,74.21300000000001
7,Biodiesel B100,2019.0,BA,RN,m³,3.533, 3.385 ,2.908,3.305,2.165,2.2430000000000003,2.296,2.9930000000000003,,,,,22.828000000000003
8,Biodiesel B100,2019.0,GO,BA,m³,6.571000000000001, 5.681 ,9.853,10.124,7.586,6.336,12.014000000000001,14.003,,,,,72.169
9,Biodiesel B100,2019.0,GO,CE,m³,411.0, 390 ,3.838,3.7760000000000002,211.0,187.0,655.0,556.0,,,,,10.024
10,Biodiesel B100,2019.0,GO,DF,m³,4.89, 4.830 ,1.3430000000000002,1.629,3.051,2.75,2.289,2.8680000000000003,,,,,23.65
11,Biodiesel B100,2019.0,GO,ES,m³,2.667, 1.608 ,1.3119999999999998,1.966,2.1180000000000003,2.568,1.851,2.167,,,,,16.257
12,Biodiesel B100,2019.0,GO,GO,m³,17.52, 19.222 ,13.800999999999998,13.365,22.156999999999996,21.476999999999997,22.351,21.864,,,,,151.757
13,Biodiesel B100,2019.0,GO,MA,m³,5.443, 4.515 ,2.967,2.546,4.999,5.832999999999999,769.0,2.511,,,,,29.581999999999997
14,Biodiesel B100,2019.0,GO,MG,m³,13.15, 14.448 ,22.232,25.195,21.697,23.16,24.721,27.629,,,,,172.232
15,Biodiesel B100,2019.0,GO,PA,m³,2.005, 1.438 ,1.571,1.591,1.6909999999999998,2.502,1.5390000000000001,1.578,,,,,13.915999999999999
16,Biodiesel B100,2019.0,GO,PB,m³,47.0, 131 ,179.0,46.0,46.0,88.0,133.0,,,,,,669.0
17,Biodiesel B100,2019.0,GO,PE,m³,4.1610000000000005, 2.277 ,5.336,3.115,1.4240000000000002,3.238,2.5780000000000003,4.256,,,,,26.384
18,Biodiesel B100,2019.0,GO,PR,m³,45.0,   ,43.0,,,,,,,,,,88.0
19,Biodiesel B100,2019.0,GO,RJ,m³,, 862 ,43.0,,265.0,85.0,449.0,773.0,,,,,2.477
20,Biodiesel B100,2019.0,GO,RN,m³,1.057, 778 ,1.27,1.203,1.239,1.235,1.669,1.9580000000000002,,,,,10.409
21,Biodiesel B100,2019.0,GO,SP,m³,240.0, 183 ,765.0,954.0,689.0,1.4580000000000002,2.842,1.123,,,,,8.254
22,Biodiesel B100,2019.0,MG,MG,m³,11.433, 11.710 ,9.816,12.374,10.73,12.104000000000001,7.069,8.696,,,,,83.931
23,Biodiesel B100,2019.0,MS,DF,m³,7.728, 7.320 ,6.097,5.013999999999999,5.428,5.239,6.85,5.37,,,,,49.045
24,Biodiesel B100,2019.0,MS,ES,m³,,,518.0,517.0,1.6680000000000001,1.493,914.0,731.0,,,,,5.841
25,Biodiesel B100,2019.0,MS,GO,m³,54.0, 44 ,,,55.0,109.0,,,,,,,262.0
26,Biodiesel B100,2019.0,MS,MA,m³,,,,,,174.0,,,,,,,174.0
27,Biodiesel B100,2019.0,MS,MG,m³,11.052, 7.942 ,6.435,6.897,5.615,5.984,4.167,2.269,,,,,50.361000000000004
28,Biodiesel B100,2019.0,MS,PA,m³,,,,,,45.0,,,,,,,45.0
29,Biodiesel B100,2019.0,MS,PE,m³,,,,,,56.0,,,,,,,56.0
30,Biodiesel B100,2019.0,MS,PR,m³,236.0,,2.708,2.103,1.641,1.28,474.0,850.0,,,,,9.292
31,Biodiesel B100,2019.0,MS,RJ,m³,3.1180000000000003, 2.995 ,2.443,1.7519999999999998,4.046,3.497,2.4130000000000003,3.1489999999999996,,,,,23.414
32,Biodiesel B100,2019.0,MS,SP,m³,7.782, 6.361 ,9.687000000000001,11.039000000000001,8.123,8.802,14.672,16.641,,,,,83.10700000000001
