ANO;ESTADO;REFINARIA;MATÉRIA PRIMA;UNIDADE;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL
2019;SÃO PAULO;RPBC;PETRÓLEO NACIONAL ;m3;703322;660799;729770;691698;619610;483124;;;;;;;3888323
2019;BAHIA;RLAM;PETRÓLEO NACIONAL ;m3;873734;776583;843495;916835;970246;721308;;;;;;;5102201
2019;RIO DE JANEIRO;REDUC;PETRÓLEO NACIONAL ;m3;669645;474135;485836;411531;563960;509643;;;;;;;3114750
2019;MINAS GERAIS;REGAP;PETRÓLEO NACIONAL ;m3;647681;590957;609782;625476;638858;667296;;;;;;;3780050
2019;RIO GRANDE DO SUL;REFAP;PETRÓLEO NACIONAL ;m3;637544;648002;587719;600099;508280;574909;;;;;;;3556553
2019;CEARÁ;LUBNOR;PETRÓLEO NACIONAL ;m3;26073;29125;32550;17425;27353;29476;;;;;;;162002
2019;SÃO PAULO;REPLAN;PETRÓLEO NACIONAL ;m3;1069064;1415130;1464857;1356007;1414946;1455836;;;;;;;8175840
2019;AMAZONAS;REMAN;PETRÓLEO NACIONAL ;m3;136827;126703;142713;133372;137738;130036;;;;;;;807389
2019;SÃO PAULO;RECAP;PETRÓLEO NACIONAL ;m3;183778;246960;254591;243398;221044;211236;;;;;;;1361007
2019;PARANÁ;REPAR;PETRÓLEO NACIONAL ;m3;732157;643314;746293;655576;694901;782849;;;;;;;4255090
2019;SÃO PAULO;REVAP;PETRÓLEO NACIONAL ;m3;1059168;957290;893220;897518;911618;973331;;;;;;;5692145
2019;RIO GRANDE DO NORTE;RPCC;PETRÓLEO NACIONAL ;m3;159069;143251;155261;149634;154553;149760;;;;;;;911528
2019;PERNAMBUCO;RNEST;PETRÓLEO NACIONAL ;m3;339259;271690;263606;285554;312427;285157;;;;;;;1757693
2019;RIO DE JANEIRO;MANGUINHOS;PETRÓLEO NACIONAL ;m3;58755,593;39738,801;21885,121;4268,489;0;0;;;;;;;124648,004
2019;RIO GRANDE DO SUL;RIOGRANDENSE;PETRÓLEO NACIONAL ;m3;0;0;0;0;0;0;;;;;;;0
2019;SÃO PAULO;UNIVEN;PETRÓLEO NACIONAL ;m3;0;0;0;0;0;0;;;;;;;0
2019;BAHIA;DAX OIL;PETRÓLEO NACIONAL;m3;5848,321;7960,721;9691,805;9638,245;9814,829;8925,654;;;;;;;51879,575
2019;SÃO PAULO;RPBC;PETRÓLEO IMPORTADO;m3;18619;7985;9438;19728;1672;3386;;;;;;;60828
2019;BAHIA;RLAM;PETRÓLEO IMPORTADO;m3;71127;9595;9800;60531;6711;15077;;;;;;;172841
2019;RIO DE JANEIRO;REDUC;PETRÓLEO IMPORTADO;m3;238103;276477;400833;401134;394847;350213;;;;;;;2061607
2019;MINAS GERAIS;REGAP;PETRÓLEO IMPORTADO;m3;0;38;38551;45615;26315;16603;;;;;;;127122
2019;RIO GRANDE DO SUL;REFAP;PETRÓLEO IMPORTADO;m3;45296;8424;56971;159401;98484;154844;;;;;;;523420
2019;CEARÁ;LUBNOR;PETRÓLEO IMPORTADO;m3;0;0;0;0;0;0;;;;;;;0
2019;SÃO PAULO;REPLAN;PETRÓLEO IMPORTADO;m3;64536;16353;154248;242863;194500;107993;;;;;;;780493
2019;AMAZONAS;REMAN;PETRÓLEO IMPORTADO;m3;0;0;0;0;0;0;;;;;;;0
2019;SÃO PAULO;RECAP;PETRÓLEO IMPORTADO;m3;495;0;0;5027;17374;14653;;;;;;;37549
2019;PARANÁ;REPAR;PETRÓLEO IMPORTADO;m3;67846;12233;78200;94533;68052;69593;;;;;;;390457
2019;SÃO PAULO;REVAP;PETRÓLEO IMPORTADO;m3;35016;27889;74520;89314;79870;59159;;;;;;;365768
2019;RIO GRANDE DO NORTE;RPCC;PETRÓLEO IMPORTADO;m3;0;0;0;0;0;0;;;;;;;0
2019;PERNAMBUCO;RNEST;PETRÓLEO IMPORTADO;m3;24898;17026;86785;15199;4628;2900;;;;;;;151436
