Produto;Ano;UF de Origem;UF de Destino;Unidade;JANEIRO;FEVEREIRO;MARÇO;ABRIL;MAIO;JUNHO;JULHO;AGOSTO;SETEMBRO;OUTUBRO;NOVEMBRO;DEZEMBRO;Total
Biodiesel B100;2019;BA;AL;m³; 1.832 ; 1.569 ; 1.461 ; 1.682 ; 1.023 ; 1.180 ; 1.236 ; 1.343 ;;;;; 11.326 
Biodiesel B100;2019;BA;BA;m³; 15.808 ; 14.432 ; 11.537 ; 13.275 ; 18.141 ; 17.163 ; 13.432 ; 13.360 ;;;;; 117.148 
Biodiesel B100;2019;BA;CE;m³; 6.488 ; 5.457 ; 2.612 ; 2.546 ; 5.887 ; 5.922 ; 6.413 ; 6.904 ;;;;; 42.229 
Biodiesel B100;2019;BA;ES;m³;;;;;;;; 273 ;;;;; 273 
Biodiesel B100;2019;BA;MA;m³; 1.055 ; 1.205 ; 44 ;; 556 ;;; 212 ;;;;; 3.072 
Biodiesel B100;2019;BA;PB;m³; 3.354 ; 2.686 ; 3.145 ; 3.209 ; 2.622 ; 2.941 ; 2.988 ; 3.320 ;;;;; 24.266 
Biodiesel B100;2019;BA;PE;m³; 9.749 ; 9.769 ; 8.508 ; 8.250 ; 7.870 ; 10.612 ; 9.572 ; 9.883 ;;;;; 74.213 
Biodiesel B100;2019;BA;RN;m³; 3.533 ; 3.385 ; 2.908 ; 3.305 ; 2.165 ; 2.243 ; 2.296 ; 2.993 ;;;;; 22.828 
Biodiesel B100;2019;GO;BA;m³; 6.571 ; 5.681 ; 9.853 ; 10.124 ; 7.586 ; 6.336 ; 12.014 ; 14.003 ;;;;; 72.169 
Biodiesel B100;2019;GO;CE;m³; 411 ; 390 ; 3.838 ; 3.776 ; 211 ; 187 ; 655 ; 556 ;;;;; 10.024 
Biodiesel B100;2019;GO;DF;m³; 4.890 ; 4.830 ; 1.343 ; 1.629 ; 3.051 ; 2.750 ; 2.289 ; 2.868 ;;;;; 23.650 
Biodiesel B100;2019;GO;ES;m³; 2.667 ; 1.608 ; 1.312 ; 1.966 ; 2.118 ; 2.568 ; 1.851 ; 2.167 ;;;;; 16.257 
Biodiesel B100;2019;GO;GO;m³; 17.520 ; 19.222 ; 13.801 ; 13.365 ; 22.157 ; 21.477 ; 22.351 ; 21.864 ;;;;; 151.757 
